publisher,purpose,url,captured_at,source_package
OpenAI,"pricing, processing tiers, regional and tool costs",https://developers.openai.com/api/docs/pricing,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
OpenAI,"model lineup, IDs and context limits",https://developers.openai.com/api/docs/models,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
OpenAI,Batch operational qualifier,https://developers.openai.com/api/docs/guides/batch,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
OpenAI,Flex operational qualifier,https://developers.openai.com/api/docs/guides/flex-processing,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
OpenAI,Fast mode operational qualifier,https://developers.openai.com/api/docs/guides/fast-mode,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
OpenAI,prompt caching behavior,https://developers.openai.com/api/docs/guides/prompt-caching,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
Anthropic,"pricing, cache, Batch, Fast, regional, tokenizer and tool costs",https://platform.claude.com/docs/en/about-claude/pricing,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
Anthropic,"model lineup, IDs and context limits",https://platform.claude.com/docs/en/about-claude/models/overview,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
Anthropic,cache behavior and retention,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
Anthropic,Message Batches operational qualifier,https://platform.claude.com/docs/en/build-with-claude/batch-processing,2026-08-24T04:11:12Z/2026-08-24T04:11:22Z,/Users/curtispyke/Documents/Codex/2026-08-23/https-kingy-ai-blog-openai-vs/outputs/kingy-price-index-openai-anthropic-refresh
